,Acidobacteriota,Actinomycetota,Aquificota,Armatimonadota,Atribacterota,Bacillota,Bacteroidota,Balneolota,Bdellovibrionota,Caldisericota,Calditrichota,Campylobacterota,Candidatus.Abawacabacteria,Candidatus.Absconditabacteria,Candidatus.Adlerbacteria,Candidatus.Aenigmarchaeota,Candidatus.Altiarchaeota,Candidatus.Amesbacteria,Candidatus.Aminicenantes,Candidatus.Andersenbacteria,Candidatus.Azambacteria,Candidatus.Bathyarchaeota,Candidatus.Beckwithbacteria,Candidatus.Berkelbacteria,Candidatus.Bipolaricaulota,Candidatus.Blackallbacteria,Candidatus.Blackburnbacteria,Candidatus.Brennerbacteria,Candidatus.Buchananbacteria,Candidatus.Calescamantes,Candidatus.Campbellbacteria,Candidatus.Chisholmbacteria,Candidatus.Cloacimonetes,Candidatus.Coatesbacteria,Candidatus.Collierbacteria,Candidatus.Colwellbacteria,Candidatus.Curtissbacteria,Candidatus.Dadabacteria,Candidatus.Daviesbacteria,Candidatus.Delongbacteria,Candidatus.Desantisbacteria,Candidatus.Diapherotrites,Candidatus.Doudnabacteria,Candidatus.Edwardsbacteria,Candidatus.Eisenbacteria,Candidatus.Falkowbacteria,Candidatus.Firestonebacteria,Candidatus.Fischerbacteria,Candidatus.Fraserbacteria,Candidatus.Giovannonibacteria,Candidatus.Glassbacteria,Candidatus.Gottesmanbacteria,Candidatus.Gracilibacteria,Candidatus.Gribaldobacteria,Candidatus.Handelsmanbacteria,Candidatus.Harrisonbacteria,Candidatus.Heimdallarchaeota,Candidatus.Hydrogenedentes,Candidatus.Jacksonbacteria,Candidatus.Jorgensenbacteria,Candidatus.Kaiserbacteria,Candidatus.Kerfeldbacteria,Candidatus.Komeilibacteria,Candidatus.Korarchaeota,Candidatus.Kuenenbacteria,Candidatus.Levybacteria,Candidatus.Lindowbacteria,Candidatus.Liptonbacteria,Candidatus.Lloydbacteria,Candidatus.Lokiarchaeota,Candidatus.Magasanikbacteria,Candidatus.Margulisbacteria,Candidatus.Marinimicrobia,Candidatus.Melainabacteria,Candidatus.Micrarchaeota,Candidatus.Microgenomates,Candidatus.Moranbacteria,Candidatus.Nanohaloarchaeota,Candidatus.Nealsonbacteria,Candidatus.Niyogibacteria,Candidatus.Nomurabacteria,Candidatus.Odinarchaeota,Candidatus.Omnitrophica,Candidatus.Pacebacteria,Candidatus.Parcubacteria,Candidatus.Peregrinibacteria,Candidatus.Portnoybacteria,Candidatus.Ratteibacteria,Candidatus.Raymondbacteria,Candidatus.Riflebacteria,Candidatus.Roizmanbacteria,Candidatus.Rokubacteria,Candidatus.Ryanbacteria,Candidatus.Saccharibacteria,Candidatus.Schekmanbacteria,Candidatus.Shapirobacteria,Candidatus.Spechtbacteria,Candidatus.Staskawiczbacteria,Candidatus.Sumerlaeota,Candidatus.Sungbacteria,Candidatus.Tagabacteria,Candidatus.Taylorbacteria,Candidatus.Tectomicrobia,Candidatus.Terrybacteria,Candidatus.Thermoplasmatota,Candidatus.Thorarchaeota,Candidatus.Uhrbacteria,Candidatus.Veblenbacteria,Candidatus.Vogelbacteria,Candidatus.Wallbacteria,Candidatus.Wildermuthbacteria,Candidatus.Wirthbacteria,Candidatus.Woesearchaeota,Candidatus.Woesebacteria,Candidatus.Wolfebacteria,Candidatus.Woykebacteria,Candidatus.Yanofskybacteria,Candidatus.Yonathbacteria,Candidatus.Zambryskibacteria,Chlamydiota,Chlorobiota,Chloroflexota,Chrysiogenota,Coprothermobacterota,Cyanobacteriota,Deferribacterota,Deinococcota,Dictyoglomota,Elusimicrobiota,Euryarchaeota,Fibrobacterota,Fusobacteriota,Gemmatimonadota,Ignavibacteriota,Kiritimatiellota,Lentisphaerota,Mycoplasmatota,Myxococcota,Nanoarchaeota,Nitrososphaerota,Nitrospinota,Nitrospirota,Planctomycetota,Pseudomonadota,Spirochaetota,Synergistota,Thermodesulfobacteriota,Thermomicrobiota,Thermoproteota,Thermotogota,Verrucomicrobiota,candidate.division.CPR1,candidate.division.CPR2,candidate.division.CPR3,candidate.division.NC10,candidate.division.WOR.3,candidate.division.WWE3,candidate.division.Zixibacteria
Candidatus.Tagabacteria,-0.0085,0.0,0.0089,0.0,-0.0077,0.0,0.0022,0.0,0.0,0.0,0.0,0.0057,-0.0058,0.0096,-0.0073,0.0,-0.0087,0.0,0.0,0.0,0.0,0.0,-0.0077,-0.0032,0.0,0.0,0.0,0.0,-0.0003,0.0,0.0059,0.0,0.0,0.0,-0.0071,-0.0093,-0.0091,-0.01,0.0,0.0,0.0,0.0,-0.0049,0.0,0.0,-0.0011,0.0,-0.0077,-0.0007,0.0,-0.0095,-0.0051,0.0,0.0118,0.0055,0.0,-0.0046,0.0,-0.0069,0.0,-0.003,-0.009,0.0,0.0,0.0071,-0.0076,0.0,-0.007,-0.0069,-0.0071,0.0022,0.0,0.0023,0.0,-0.0097,0.0,0.0,0.0,0.0065,0.0,0.0,-0.0049,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,0.0,-0.0087,-0.0035,-0.0049,-0.003,-0.0072,-0.0049,0.0,-0.0009,0.0077,-0.0089,0.0,-0.001,-0.0026,0.0,0.0,0.0,-0.0099,0.0,0.0,0.0007,0.0,0.0,0.0132,0.0,0.0,0.0,0.0,0.0,0.0,-0.0096,-0.0025,0.0,-0.0041,0.0,0.0,0.0004,-0.0008,0.0,-0.0099,0.0,-0.0082,-0.0058,0.0029,-0.0093,0.0,0.0,0.0,0.0,0.0,0.0,-0.0095,-0.0009,0.0,0.0,-0.0052,0.0,-0.0081,-0.0051,-0.0094,0.0,-0.005,0.0,0.0,-0.0051,0.0,0.0,-0.0077,-0.0013
Candidatus.Taylorbacteria,0.0,0.0,0.0,0.0,0.0,0.0102,0.0,-0.0098,0.0,0.0,0.0,0.0,0.0031,0.0,0.0,-0.0011,0.0,0.0,-0.0013,0.0,0.0,-0.0049,0.0,0.0,0.0,0.0,-0.0089,0.0172,-0.0033,0.0051,-0.0014,0.0,-0.0059,0.0,-0.0086,-0.0029,0.0,0.0,-0.005,0.0,0.0022,-0.001,0.0101,-0.0089,0.0,0.0,0.0021,0.0,0.0,0.0,0.0,-0.0071,0.0169,-0.0047,0.0,-0.0029,0.0,-0.0016,0.0,-0.0036,-0.0093,-0.0044,0.0192,-0.0057,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,-0.0042,0.0018,0.0,0.0069,-0.0061,0.007,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0066,0.0,0.0,0.0,-0.006,0.0,0.0059,-0.0035,-0.001,0.0,0.0,0.0,-0.0023,0.0,0.0,-0.0057,0.0,0.0,-0.0086,0.0,0.0,-0.0,0.0,0.0219,0.0027,-0.0054,0.0,-0.0085,-0.0091,-0.0039,0.0,0.0,-0.0049,-0.0074,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0061,0.0039,-0.0034,0.0,-0.0093,0.0,0.0,-0.0086,-0.0058,0.0,-0.0083,-0.0079,-0.0084,0.0,0.0,0.0,0.0,0.0,-0.0061,0.0,0.0,-0.0046,0.0,0.0,0.0069
Candidatus.Tectomicrobia,0.0069,-0.005,0.0,-0.0046,-0.0014,0.0,-0.0072,-0.0064,0.0,0.0004,0.0,0.0023,0.0,0.0,0.0,-0.0037,-0.0056,0.0,0.0116,0.0,0.0208,-0.005,0.0,0.0,0.0,0.0,0.0,-0.0042,0.0,0.0,0.0,0.0,-0.0094,-0.0072,0.0031,0.0,0.0,0.0,-0.0023,0.0018,0.0,0.0,0.0064,0.0,-0.0051,0.001,-0.001,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0058,0.001,-0.0002,0.0,-0.0017,0.0,0.0,0.0,0.0,-0.0088,-0.0082,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,-0.0078,0.0,0.0,0.0,0.0,0.0,-0.0071,-0.0002,0.0,0.0,0.0012,0.0031,-0.0061,0.0118,-0.0056,0.0,0.0,0.0001,0.0055,0.0,0.0,-0.0078,-0.0035,-0.0026,0.0,0.0,-0.0086,-0.0071,-0.0093,0.0,-0.001,0.0,0.0,-0.0095,-0.0083,-0.0066,-0.0092,0.0,0.0,0.0,-0.009,0.0,0.0027,0.0,0.0037,-0.0059,0.0,0.0,0.0,-0.0022,0.0,0.0,0.0,-0.0071,0.0,-0.0029,0.0,0.0,0.0,0.0,0.0,-0.0096,0.0,0.0,-0.0082,-0.01,0.0,0.0,-0.0077,0.0047,0.0039,0.0,0.0,0.0,0.0,0.0,0.0045,-0.0063,0.0,0.0,0.0
Candidatus.Terrybacteria,0.0,0.0,0.0,0.0,0.0,-0.009,-0.0087,-0.0026,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018,0.0008,0.0,0.0,0.0,0.0,-0.0097,0.0,0.0,0.0,0.0,0.0,-0.0084,0.0,0.0,-0.0032,0.0,0.0,-0.008,-0.0052,0.0,-0.0025,-0.0059,0.0,0.0,0.0079,-0.0056,0.0,0.0,0.0,0.0119,0.0,0.0,0.0,-0.0063,0.0,-0.005,0.0,0.0,0.0,-0.0064,0.0,-0.0056,0.0016,0.0,0.0002,0.0,0.0,-0.0016,-0.0028,0.0,-0.0075,0.0,0.0077,0.0,0.0,0.0,-0.0093,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0151,-0.0088,-0.0056,-0.007,0.0005,0.0,-0.0025,0.0109,0.0,0.0,0.0,-0.0093,0.0,0.0,-0.0005,-0.0047,0.0126,-0.0076,0.0,-0.0051,0.0,0.0,-0.0086,0.0,0.0,0.0,0.0,-0.005,0.0,-0.009,0.0,-0.0038,0.0,-0.0031,0.0,0.0,0.0,0.0012,0.0,0.0,-0.0045,-0.0073,-0.0043,0.0013,0.0,0.0065,0.0,0.0,-0.0007,-0.0077,0.0,0.0,0.0,0.0037,-0.0057,0.0061,-0.0058,-0.0082,-0.0064,0.0,0.0,0.0101,-0.006,0.0,0.0,0.0,-0.0007,0.0107,0.0,0.0,0.0,0.0062,0.0,0.0,0.0,-0.0012,-0.0023,-0.0085
Candidatus.Thermoplasmatota,-0.0057,-0.0063,0.0,-0.0082,0.0,0.0,0.0,0.0143,-0.0003,0.0,0.0,-0.0023,0.0,0.0,-0.0011,0.0,0.0,0.0,0.0,-0.0073,-0.0074,-0.0028,0.0074,0.0,0.0,0.0,0.0001,0.0,0.0,-0.0086,0.0,0.0,-0.008,0.0,0.0,0.0034,-0.0071,0.0071,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,-0.0089,-0.008,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,-0.0067,0.0,-0.0008,0.0,0.0,0.0,-0.008,0.0,0.0,0.0102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,-0.0098,0.0,0.0,0.0,0.003,0.0,0.0,-0.0042,-0.0095,-0.0052,0.003,0.0,0.0,0.0,0.0,-0.0068,-0.0047,0.0,0.0,0.0,0.0,-0.0034,0.0,0.0,0.0132,0.0,-0.0075,0.0,0.0,-0.0023,-0.0071,0.0,0.0,0.0,0.0,-0.0087,-0.0032,-0.01,0.0,0.0129,0.0,0.0,0.0,0.0,0.0,-0.0016,-0.0002,-0.0059,0.0,-0.0076,0.0,-0.0025,0.0,0.0043,0.0,-0.0017,0.0,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0094,0.0063,-0.005,0.0,0.0,0.0,-0.0043,0.0,0.0,0.0,-0.0075,0.0,0.0,0.0004,-0.002,0.0,0.0104,-0.0068,0.0,-0.0002
Candidatus.Thorarchaeota,-0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,-0.0086,0.0,0.0,0.0,0.0,0.0,-0.002,-0.0023,-0.0059,0.0,0.0,0.0,0.0074,-0.0085,-0.0004,0.0,-0.0033,-0.0044,0.0039,-0.0043,0.0,-0.0095,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,-0.0084,-0.0073,-0.0094,-0.0005,-0.0095,0.0,0.0,-0.002,0.0,0.0049,-0.0086,-0.008,0.0,-0.0084,0.0,0.0,0.0,0.0,0.0,-0.0099,0.0,-0.0063,0.0,0.0,0.0,-0.0029,0.0021,0.0,0.0,0.0,0.0,0.0,-0.0017,0.0161,-0.0098,0.0,0.0,0.0,-0.0097,0.0,-0.0099,-0.0011,0.0,0.0,-0.0026,-0.0056,-0.0021,0.0,0.0,-0.0018,0.0,0.0,-0.0074,-0.0057,0.0009,0.0,0.0,0.0,0.0,0.0,-0.0013,0.0,0.0,-0.0093,0.0,0.0,0.0,0.0,0.0,0.0,-0.0057,-0.0098,0.0,0.0,-0.0037,0.0,0.0,0.0166,0.0,-0.0086,-0.0043,0.0,0.0,0.0,-0.0071,-0.002,0.0,0.0,-0.0078,0.0,0.0004,0.0,0.0,-0.0071,0.0,-0.01,-0.0056,0.0,-0.0036,0.0,0.0,0.0,-0.0054,0.0,0.0,-0.0073,0.0,0.0,-0.0085,0.0,-0.0083,-0.0088,0.0,0.0,-0.0051,-0.0073,0.0011,0.0,-0.0005
Candidatus.Uhrbacteria,0.0,0.0,0.0,0.0055,0.0,0.0,0.0039,0.0,0.0,0.0012,0.0,0.0,-0.0026,-0.0,-0.0098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0102,0.0,0.0,-0.0089,0.0,-0.0067,0.0,0.0,-0.0079,0.0009,0.021,0.0,0.0,0.0012,0.0,0.0,-0.0098,0.0,0.0,0.0048,-0.0001,-0.0011,-0.0041,0.0,0.0,-0.0068,0.0,0.0078,-0.0066,0.0,0.0,-0.0057,0.0132,0.0,0.0062,0.0,0.0,-0.0064,-0.0042,0.0,0.0,0.0,0.0,-0.0096,0.0037,0.0,0.0,-0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054,-0.0005,0.0,0.0,0.001,-0.0078,-0.0065,-0.0094,-0.0026,0.0,0.0,-0.0047,0.0,0.0,-0.0081,0.0,0.0,0.0,-0.0033,-0.004,-0.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116,-0.0082,0.0,-0.0097,0.0161,0.0,0.0025,-0.0003,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0078,0.0039,0.0,0.0,0.0,0.0,0.0,-0.005,-0.0048,-0.008,0.0166,0.0,0.0,0.0,0.0039,0.0,0.0,0.0,-0.0035,0.0,0.0,-0.0031,-0.0038,0.0,-0.0073,-0.0057,0.0,-0.0029,0.0,0.0,0.0069,0.0087
Candidatus.Veblenbacteria,0.0,0.0001,-0.0093,-0.0075,0.0,0.0,0.0,-0.0064,0.0,-0.006,-0.0065,0.0,-0.0095,0.014,-0.0044,0.0096,-0.0047,0.0,0.0,-0.0008,-0.0031,0.0022,0.0007,-0.0087,-0.0001,-0.0074,0.0101,0.0,-0.0006,0.0,0.0,0.0,0.0,-0.009,-0.0096,0.0,0.0,0.0,-0.0037,0.0,0.0111,-0.0037,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021,0.0,0.0104,0.0,-0.0003,-0.0037,-0.0029,0.0,0.0,-0.0045,-0.0087,0.0084,-0.005,0.0,0.0099,0.0015,0.0,0.0,-0.0057,0.0,0.0,-0.0039,-0.0075,-0.0075,0.0,-0.0068,-0.0092,0.006,-0.0031,0.0,-0.0092,0.0,-0.0036,-0.0086,0.0089,-0.0075,0.0,0.0,-0.0092,0.0,-0.0057,-0.001,-0.005,-0.0087,0.0,0.0,0.0,-0.0045,0.0,0.0,-0.005,-0.008,-0.0076,0.0,0.0,0.0,-0.0022,0.0055,0.0,0.0,0.0083,0.0,0.0,-0.008,0.0004,-0.0085,-0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037,0.0,-0.0073,0.0077,-0.0056,0.0,0.0,0.0,0.0,0.0,-0.0084,-0.0009,0.0,0.0136,-0.008,-0.0027,-0.0087,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus.Vogelbacteria,0.0,0.003,-0.0045,0.0,0.0,-0.0031,-0.0081,0.0,-0.0017,0.0,0.0,-0.0068,-0.0039,0.0,0.007,0.0,-0.0058,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,-0.0046,-0.0076,0.0,0.0001,0.0032,-0.0054,0.0,0.0,0.0,0.0,0.0,-0.0081,-0.008,-0.0047,0.0032,0.0,0.0,0.0,-0.0076,0.0,0.0,0.0047,-0.0023,-0.0023,-0.0045,0.0,0.0019,0.0,0.0,0.0,0.0,-0.0021,-0.0079,0.0,-0.0049,-0.001,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,-0.0089,0.0,0.0,0.0,0.0,0.0,-0.0076,0.0,-0.0008,0.0,-0.0048,-0.0077,-0.0032,0.0041,0.0,0.0,-0.0058,0.0,0.0,-0.007,-0.0074,-0.005,-0.0068,0.0,0.0,-0.007,0.0,-0.0019,0.0,0.0,0.0,0.0,-0.0032,0.0,0.0,-0.0045,0.0,0.0,0.0,0.0,0.0,-0.0035,0.0,0.0,0.0,-0.0029,-0.0017,0.0,0.0,0.0,0.0001,0.0,0.0,-0.0081,-0.001,-0.0071,-0.0074,0.0,0.0043,-0.0064,-0.0023,0.0,-0.0072,-0.0005,0.0,-0.0083,0.0,-0.0001,0.0,0.0,-0.0039,-0.0093,0.0,-0.0034,0.0,0.0,0.0,-0.0085,0.0,-0.0083,-0.0079,0.0,0.0,0.0,0.006,0.0
Candidatus.Wallbacteria,0.0,-0.0068,0.0,-0.0013,-0.0085,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005,0.0,-0.005,0.0,-0.0015,-0.0073,0.0,0.0,0.0056,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,-0.0048,-0.0031,0.0,0.0,-0.0006,0.0,-0.0063,0.0,0.0031,-0.006,0.0,-0.0025,0.0,0.0,0.0014,0.0007,0.0,0.0017,-0.0058,0.0,0.0,0.0,0.0,-0.0056,0.0121,0.0,0.0,0.0,0.0,0.0,-0.0069,0.0,-0.0036,0.0,-0.0011,0.0,0.0,-0.0084,-0.0036,0.0,-0.0044,0.0,-0.0073,0.0005,-0.0021,0.0,0.0,-0.0059,-0.0012,0.0,0.0,0.0,-0.0015,0.0,0.0,0.0017,0.0,-0.0004,0.0,-0.0036,0.0,0.0,0.0117,0.0,0.0,-0.0036,0.0,0.0007,0.0,0.0,-0.009,-0.01,-0.0057,0.0116,0.0,0.0,0.0,0.0,0.003,0.0,-0.0073,0.0,0.0,0.0,0.0,0.0,0.0072,-0.0064,0.0,-0.0015,0.0,-0.0075,0.0,0.0,-0.0031,0.0,0.0,0.0,0.0,0.0,-0.0095,-0.0087,0.0046,-0.0043,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0181,0.0,0.0,0.0
Candidatus.Wildermuthbacteria,0.0,0.0,0.0,0.0,-0.0038,-0.003,-0.0071,-0.0069,-0.0025,0.0,0.0125,0.0,0.0,0.0,-0.0017,-0.0059,0.0,-0.004,-0.0092,0.0,0.0023,0.0004,0.0,0.0,0.0,-0.0093,0.0,0.004,0.0,0.0,0.0,-0.0073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083,-0.0057,0.0086,0.0,0.0,0.005,-0.01,0.0,-0.0046,0.0,0.0,0.0,-0.0091,0.0002,0.0,-0.01,0.0,0.0,0.005,0.0,-0.0063,-0.0063,0.0017,-0.0065,-0.0023,0.0,0.0,0.0,0.0019,-0.0057,0.0,0.0,0.0,0.0,0.0029,-0.0071,0.0,0.0,0.0,0.0,0.0,0.0028,-0.0031,0.0,-0.0069,0.0,0.0,0.0037,0.0,-0.0035,-0.0044,0.0,0.0,0.0108,0.0,0.0,0.0,0.0007,-0.0011,-0.01,0.0,-0.0086,-0.0095,0.0,0.0,-0.0098,-0.0082,0.0,0.0,0.0,0.0,0.0039,-0.0022,0.0,0.0029,0.0,0.0,0.0,0.0,0.0,-0.0065,-0.008,-0.0081,0.0,0.0013,0.0,-0.0095,0.0,0.0,0.0,0.0,-0.0059,-0.0065,0.0,0.0,-0.0033,0.0,-0.0043,0.0,0.0067,0.0,0.0032,0.0,0.0,0.0,-0.002,-0.0044,-0.0049,0.0,-0.0091,0.0,0.0,0.0,0.0,0.0,-0.0039,0.0,-0.0033
Candidatus.Wirthbacteria,-0.0075,-0.0054,-0.0064,0.0,0.0,0.0,-0.007,-0.0058,0.0,0.0,0.0,-0.0069,-0.006,0.0,0.0,-0.003,0.0,-0.0089,0.0,0.0,0.0,-0.0054,0.0025,0.0,0.0,0.0111,-0.0013,0.0,0.0,0.0,-0.0083,0.0064,0.0,0.0022,0.0,-0.0049,0.0,0.0,0.0,0.0049,-0.01,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0031,0.0,0.0,-0.0066,-0.0051,0.0,0.0,-0.0088,-0.0004,0.0,0.0,0.0,-0.0077,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,-0.0083,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,-0.0045,0.0117,0.0,-0.0074,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.0,0.0,0.0,-0.0012,-0.008,0.0,-0.0054,-0.0067,0.0011,0.0,0.0,0.0,0.0,-0.0083,-0.0038,0.0129,0.0,0.0,-0.005,0.0,0.003,0.0039,0.0,0.0056,0.0,0.0,0.0,0.0,0.0,-0.0065,0.0,-0.0074,0.0,0.0,-0.0064,0.0,-0.0017,0.0011,0.0,0.0,0.0,0.0009,0.0015,-0.0082,0.0,0.0,0.0013,-0.0083,-0.0037,0.0,-0.0092,0.0,0.0,-0.0007,0.0,-0.001,-0.0051,0.0017,-0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0091,0.0076
Candidatus.Woesearchaeota,0.0,0.0038,0.0,-0.0029,0.0,-0.0044,0.0,0.0,0.0,0.0042,0.0,0.0013,0.0,0.0,0.0157,0.0,0.0031,0.0,0.0,-0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0055,-0.0081,0.0,-0.0076,-0.0099,0.0,0.0042,0.0105,0.0,0.0,-0.0065,0.0,0.0,0.0,-0.0065,0.0,-0.0045,0.0,0.0,0.0,-0.0055,-0.0097,0.0,-0.0095,0.0,0.0,0.0011,0.0,0.0052,-0.0095,0.0,-0.0072,0.0,-0.0075,0.0,0.0,-0.0044,0.0,0.0,0.0,0.0,-0.0005,0.0,-0.009,0.0,-0.0064,0.0,-0.0078,0.0,-0.0065,-0.0075,0.0,0.0,0.0,0.0,0.0059,0.0,0.0,0.0,0.0,-0.0045,0.0,-0.0034,-0.0031,-0.0055,-0.0002,-0.0082,0.0,0.0034,-0.0069,0.0027,-0.0093,0.002,0.0132,0.0,-0.0066,0.0,0.0,0.0,-0.0097,-0.008,0.0,0.0,-0.0022,0.0056,0.0,-0.0082,-0.0083,-0.0093,0.0024,0.0027,-0.0066,0.0054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,-0.0055,0.0108,0.0,0.0,-0.007,0.0045,0.0,0.0,-0.0055,0.0,-0.0004,0.0,-0.0007,0.0,0.0,-0.0054,0.0,0.0037,0.0027,0.0,0.0,-0.006,0.0,0.0017,0.0082,0.0,-0.0068
Candidatus.Woesebacteria,0.0,-0.0063,0.0,-0.0095,0.0,0.0,-0.0066,0.0,0.0,-0.0027,-0.0067,-0.0038,0.0,0.0,0.0,-0.0046,-0.005,0.0,0.0,0.0,-0.0036,-0.0029,-0.0086,0.0,0.0,-0.0086,0.0086,-0.0073,0.0,0.0,-0.0064,-0.0062,0.0,0.0,0.0,-0.0093,0.0,0.0,-0.0067,0.0,0.0,0.0,0.0,0.0058,-0.0008,0.0,-0.0078,-0.0062,0.0,0.0,0.0,-0.0048,-0.0068,0.0003,0.0,-0.0014,0.0,-0.0014,0.0,0.0,0.0,0.0058,0.0,0.0,0.0,0.0,0.0,0.0,-0.003,0.0,-0.002,-0.0062,0.0,-0.0079,0.0,0.0004,0.0,0.0059,0.0,-0.0034,-0.009,0.0039,-0.005,0.0,-0.0022,0.0,0.0,0.0,-0.0027,-0.0004,-0.0048,0.0,0.0,0.0,0.0,-0.0061,0.0,-0.001,0.0,0.0,0.0,-0.0,-0.0092,-0.0031,0.0,-0.0037,0.0161,-0.0076,-0.0035,-0.0073,0.0,0.0,-0.0082,0.0,0.0,0.0,-0.0084,-0.0096,0.0,-0.0049,0.0,0.0,0.0,-0.0094,0.0,0.0,-0.0053,0.0069,0.0,0.0,0.0,0.0,-0.0073,0.0,0.0,-0.007,0.0,-0.0037,-0.0047,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,-0.0081,-0.0073,-0.0017,0.0,-0.0094,-0.0048,0.0,0.0,0.0,-0.0064
Candidatus.Wolfebacteria,-0.0073,0.011,0.0,-0.004,-0.0096,0.0,0.0,-0.0042,-0.0089,0.0,-0.0088,0.0,-0.0084,0.0,0.0,0.0,0.0,0.0,0.0,0.0149,0.0,0.0,-0.001,-0.0082,0.0,0.0,-0.0003,0.0,0.0,-0.0093,-0.0068,-0.0048,0.0007,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014,-0.0062,0.0024,-0.0061,0.0,0.0012,0.0,0.0,0.0087,0.0,-0.0025,-0.0097,0.0,0.0,0.0,0.0095,0.0,0.0,0.0,0.0062,0.0,0.0103,0.0,-0.0096,0.0036,0.0,0.0,0.0035,0.0044,0.0,-0.0002,0.0,0.0,0.0,0.0,-0.0081,0.0065,0.0082,0.0,0.0,0.0069,0.0071,0.0031,0.0,0.0,0.0037,0.0,0.0,0.0,-0.0015,-0.0099,-0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,0.0,-0.0083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0077,-0.0045,0.0,0.0,0.003,0.0,0.0,0.0012,0.0,0.0,0.0003,0.0,0.0,-0.0035,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018,-0.0032,0.0,-0.0077,0.0,0.0,0.0033,0.0,0.008,-0.0021,-0.0019,0.0036,-0.001,0.0027,-0.0078,0.0
